postcodes,town,state,state_code,province,latitude,longitude,country_iso_alpha2,country_iso_alpha3,country_iso_numeric
16143,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16144,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16145,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16146,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16147,Sturla,Liguria,LG,Genova,44.4,8.9833,IT,ITA,380
16148,Quarto Dei Mille,Liguria,LG,Genova,44.3833,8.9833,IT,ITA,380
16149,Sampierdarena,Liguria,LG,Genova,44.4167,8.9,IT,ITA,380
16151,Campasso,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16152,Cornigliano Ligure,Liguria,LG,Genova,44.4167,8.8833,IT,ITA,380
16153,Borzoli,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16154,San Giovanni Battista,Liguria,LG,Genova,44.4167,8.9,IT,ITA,380
16155,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16156,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16157,Palmaro Di Pra',Liguria,LG,Genova,44.425,8.8667,IT,ITA,380
16158,Genova,Liguria,LG,Genova,44.4167,8.95,IT,ITA,380
16159,Certosa Di Rivarolo Ligure,Liguria,LG,Genova,44.425,8.925,IT,ITA,380
16161,Fegino,Liguria,LG,Genova,44.4333,8.8833,IT,ITA,380
16162,Bolzaneto,Liguria,LG,Genova,44.45,8.9,IT,ITA,380
16163,San Quirico In Val Polcevera,Liguria,LG,Genova,44.4833,8.8833,IT,ITA,380
16164,Pontedecimo,Liguria,LG,Genova,44.5,8.9,IT,ITA,380
16165,Struppa,Liguria,LG,Genova,44.45,9.0333,IT,ITA,380
16166,Quinto Al Mare,Liguria,LG,Genova,44.3833,9.0167,IT,ITA,380
16167,Nervi,Liguria,LG,Genova,44.3833,9.0333,IT,ITA,380
18100,Imperia,Liguria,LG,Imperia,43.8879,8.0316,IT,ITA,380
